SDTM Class,Domain,Variable Order,Class,Dataset Name,Variable Name,Variable Label,Type,CDISC CT Codelist Code(s),Codelist Submission Value(s),Described Value Domain(s),Value List,Role,Core,CDISC Notes
Events,HO,10.0,Events,HO,HOCAT,Category for Healthcare Encounter,Char,,,,,Grouping Qualifier,Perm,Used to define a category of topic-related values.
Events,HO,11.0,Events,HO,HOSCAT,Subcategory for Healthcare Encounter,Char,,,,,Grouping Qualifier,Perm,A further categorization of HOCAT values.
Events,HO,12.0,Events,HO,HOPRESP,Pre-Specified Healthcare Encounter,Char,C66742,,,,Variable Qualifier,Perm,"A value of ""Y"" indicates that this healthcare encounter event was prespecified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)."
Events,HO,13.0,Events,HO,HOOCCUR,Healthcare Encounter Occurrence,Char,C66742,,,,Record Qualifier,Perm,"Used when the occurrence of specific healthcare encounters is solicited, to indicate whether an encounter occurred. Values are null for spontaneously reported events."
Events,HO,14.0,Events,HO,HOSTAT,Completion Status,Char,C66789,,,,Record Qualifier,Perm,The status indicates that the prespecified question was not answered.
Events,HO,15.0,Events,HO,HOREASND,Reason Healthcare Encounter Not Done,Char,,,,,Record Qualifier,Perm,"Describes the reason data for a prespecified event were not collected. Used in conjunction with HOSTAT when value is ""NOT DONE""."
Events,HO,16.0,Events,HO,TAETORD,Planned Order of Element within Arm,Num,,,,,Timing,Perm,Number that gives the planned order of the element within the arm.
Events,HO,17.0,Events,HO,EPOCH,Epoch,Char,C99079,,,,Timing,Perm,"Epoch associated with the start date/time of the healthcare encounter. Examples: ""SCREENING"", ""TREATMENT"", ""FOLLOW-UP""."
Events,HO,18.0,Events,HO,HODTC,Date/Time of Event Collection,Char,,,ISO 8601 datetime or interval,,Timing,Perm,Collection date and time of the healthcare encounter.
Events,HO,19.0,Events,HO,HOSTDTC,Start Date/Time of Healthcare Encounter,Char,,,ISO 8601 datetime or interval,,Timing,Exp,"Start date/time of the healthcare encounter (e.g., date of admission)."
Events,HO,20.0,Events,HO,HOENDTC,End Date/Time of Healthcare Encounter,Char,,,ISO 8601 datetime or interval,,Timing,Perm,"End date/time of the healthcare encounter (e.g., date of discharge)."
Events,HO,21.0,Events,HO,HODY,Study Day of Event Collection,Num,,,,,Timing,Perm,Study day of event collection relative to the sponsor-defined RFSTDTC.
Events,HO,22.0,Events,HO,HOSTDY,Study Day of Start of Encounter,Num,,,,,Timing,Perm,Study day of the start of the healthcare encounter relative to the sponsor-defined RFSTDTC.
Events,HO,23.0,Events,HO,HOENDY,Study Day of End of Healthcare Encounter,Num,,,,,Timing,Perm,Study day of the end of the healthcare encounter relative to the sponsor-defined RFSTDTC.
Events,HO,24.0,Events,HO,HODUR,Duration of Healthcare Encounter,Char,,,ISO 8601 duration,,Timing,Perm,"Collected duration of the healthcare encounter. Used only if collected on the CRF and not derived from the start and end date/times. Example: ""P1DT2H"" (for 1 day, 2 hours)."
Events,HO,25.0,Events,HO,HOSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable --STTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Events,HO,26.0,Events,HO,HOSTTPT,Start Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by STRTPT. Examples: ""2003-12-15"", ""VISIT 1""."
Events,HO,27.0,Events,HO,HOENRTPT,End Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the end of the event as being before or after the reference time point defined by variable HOENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Events,HO,28.0,Events,HO,HOENTPT,End Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the reference point referred to by HOENRTPT. Examples: ""2003-12-25"", ""VISIT 2""."
Events,MH,1.0,Events,MH,STUDYID,Study Identifier,Char,,,,,Identifier,Req,Unique identifier for a study.
Events,MH,2.0,Events,MH,DOMAIN,Domain Abbreviation,Char,,,,MH,Identifier,Req,Two-character abbreviation for the domain.
Events,MH,3.0,Events,MH,USUBJID,Unique Subject Identifier,Char,,,,,Identifier,Req,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
Events,MH,4.0,Events,MH,MHSEQ,Sequence Number,Num,,,,,Identifier,Req,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.
Events,MH,5.0,Events,MH,MHGRPID,Group ID,Char,,,,,Identifier,Perm,Used to tie together a block of related records in a single domain for a subject.
Events,MH,6.0,Events,MH,MHREFID,Reference ID,Char,,,,,Identifier,Perm,Internal or external medical history identifier.
Events,MH,7.0,Events,MH,MHSPID,Sponsor-Defined Identifier,Char,,,,,Identifier,Perm,Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Medical History CRF page.
Events,MH,8.0,Events,MH,MHTERM,Reported Term for the Medical History,Char,,,,,Topic,Req,Verbatim or preprinted CRF term for the medical condition or event.
Events,MH,9.0,Events,MH,MHMODIFY,Modified Reported Term,Char,,,,,Synonym Qualifier,Perm,"If MHTERM is modified to facilitate coding, then MHMODIFY will contain the modified text."
Events,MH,10.0,Events,MH,MHDECOD,Dictionary-Derived Term,Char,,,,,Synonym Qualifier,Perm,Dictionary-derived text description of MHTERM or MHMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document.
Events,MH,11.0,Events,MH,MHEVDTYP,Medical History Event Date Type,Char,C124301,,,,Variable Qualifier,Perm,"Specifies the aspect of the medical condition or event by which MHSTDTC and/or the MHENDTC is defined. Examples: ""DIAGNOSIS"", ""SYMPTOMS"", ""RELAPSE"", ""INFECTION""."
Events,MH,12.0,Events,MH,MHCAT,Category for Medical History,Char,,,,,Grouping Qualifier,Perm,"Used to define a category of related records. Examples: ""CARDIAC"", ""GENERAL""."
Events,MH,13.0,Events,MH,MHSCAT,Subcategory for Medical History,Char,,,,,Grouping Qualifier,Perm,A further categorization of the condition or event.
Events,MH,14.0,Events,MH,MHPRESP,Medical History Event Pre-Specified,Char,C66742,,,,Variable Qualifier,Perm,"A value of ""Y"" indicates that this medical history event was prespecified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)."
Events,MH,15.0,Events,MH,MHOCCUR,Medical History Occurrence,Char,C66742,,,,Record Qualifier,Perm,"Used when the occurrence of specific medical history conditions is solicited, to indicate whether (""Y""/""N"") a medical condition (MHTERM) had ever occurred. Values are null for spontaneously reported events."
